Times,Angle,Cur,Diff,Control
00:42.09,-162.01178,177.0,20.98822,0.48573
00:42.11,-161.596542,180.0,18.403442,0.395467
00:42.12,-161.206192,182.0,16.793823,0.379605
00:42.14,-160.840073,185.0,14.159912,0.28815
00:42.16,-160.497665,188.0,11.502319,0.221118
00:42.17,-160.179199,191.0,8.820801,0.153482
00:42.19,-159.883957,194.0,6.116028,0.085281
00:42.20,-159.612,197.0,3.388,0.016499
00:42.22,-159.3629,200.0,0.637085,0.052846
00:42.24,-159.136322,203.0,-2.136322,0.122743
00:42.25,-158.93161,207.0,-5.93161,0.243172
00:42.27,-158.749557,210.0,-8.749573,0.289188
00:42.28,-158.590652,213.0,-11.590637,0.360793
00:42.30,-158.44519,216.0,-14.44519,0.432494
00:42.32,-158.315628,219.0,-17.315613,0.504651
00:42.33,-158.203247,221.0,-19.203247,0.527272
00:42.35,-158.108429,224.0,-22.108429,0.62534
00:42.36,-158.031128,226.0,-24.031128,0.648846
00:42.38,-157.972366,228.0,-25.972351,0.697839
00:42.40,-157.932129,230.0,-27.932129,0.747298
00:42.41,-157.910263,231.0,-28.910278,0.747211
00:42.43,-157.906982,233.0,-30.906982,0.822592
00:42.44,-157.922165,234.0,-31.92218,0.823434
00:42.46,-157.955719,235.0,-32.955719,0.849732
00:42.48,-158.007324,237.0,-35.007324,0.926473
00:42.49,-158.077087,237.0,-35.077087,0.878671
00:42.51,-158.164536,238.0,-36.164551,0.9313
00:42.52,-158.269028,239.0,-37.269043,0.959338
00:42.54,-158.391342,239.0,-37.391357,0.937842
00:42.56,-158.53067,240.0,-38.53067,0.99175
00:42.57,-158.687027,240.0,-38.687012,0.971084
00:42.59,-158.860123,240.0,-38.860107,0.97583
00:42.60,-159.049011,240.0,-39.049011,0.980948
00:42.62,-159.25354,240.0,-39.25354,0.986452
00:42.64,-159.473282,239.0,-38.473267,0.942325
00:42.65,-159.707901,239.0,-38.707886,0.973563
00:42.67,-159.956894,238.0,-37.956909,0.930148
00:42.68,-160.220306,237.0,-37.220306,0.912093
00:42.70,-160.496628,237.0,-37.496643,0.944324
00:42.72,-160.786026,236.0,-36.786011,0.901884
00:42.73,-161.087509,235.0,-36.087524,0.884726
00:42.75,-161.400299,233.0,-34.400299,0.817827
00:42.76,-161.723328,232.0,-33.723328,0.826159
00:42.78,-162.056595,231.0,-33.05658,0.809746
00:42.80,-162.399689,229.0,-31.399689,0.74357
00:42.81,-162.751404,228.0,-30.751404,0.752578
00:42.83,-163.110611,226.0,-29.110596,0.686745
00:42.84,-163.476837,225.0,-28.476837,0.696077
00:42.86,-163.84874,223.0,-26.848755,0.630517
00:42.88,-164.225891,222.0,-26.225891,0.640076
00:42.89,-164.606857,220.0,-24.606873,0.574696
00:42.91,-164.990997,218.0,-22.990997,0.534378
00:42.92,-165.375977,216.0,-21.375977,0.494024
00:42.94,-165.761154,215.0,-20.761169,0.503659
00:42.96,-166.145966,213.0,-19.145966,0.438269
00:42.97,-166.52977,211.0,-17.529785,0.39784
00:42.99,-166.909973,209.0,-15.909973,0.357254
00:43.00,-167.286011,207.0,-14.286011,0.316551
00:43.02,-167.657242,206.0,-13.657227,0.325711
00:43.04,-168.022934,204.0,-12.022949,0.259717
00:43.05,-168.381287,202.0,-10.381287,0.218491
00:43.07,-168.73056,200.0,-8.73056,0.176996
00:43.08,-169.070053,199.0,-8.070068,0.185239
00:43.10,-169.399017,197.0,-6.399017,0.118199
00:43.12,-169.715622,195.0,-4.715637,0.075806
00:43.13,-170.017883,194.0,-4.017883,0.083003
00:43.15,-170.300598,192.0,-2.300598,0.014583
00:43.16,-170.562973,190.0,-0.562988,0.029366
00:47.00,175.055649,181.0,-5.944351,0.283143
