Times,I Value,J Value
00:05.84,4509.247559,1025.884155
00:05.85,4507.811035,1032.213623
00:05.87,4506.214355,1038.497437
00:05.88,4504.465820,1044.738892
00:05.90,4502.566895,1050.934204
00:05.92,4500.521973,1057.083130
00:05.93,4498.336914,1063.188599
00:05.95,4496.016113,1069.250610
00:05.96,4493.563965,1075.269775
00:05.98,4490.983398,1081.245850
00:06.00,4488.275879,1087.175781
00:06.01,4485.447266,1093.063477
00:06.03,4482.500000,1098.908936
00:06.04,4479.437012,1104.712280
00:06.06,4476.261719,1110.474121
00:06.08,4472.978027,1116.197510
00:06.09,4469.585938,1121.879395
00:06.11,4466.087891,1127.519165
00:06.12,4462.487793,1133.120728
00:06.14,4458.787109,1138.683105
00:06.16,4454.985352,1144.202637
00:06.17,4451.086426,1149.682983
00:06.19,4447.091797,1155.123779
00:06.20,4443.000977,1160.521118
00:06.22,4438.817383,1165.878296
00:06.24,4434.542480,1171.194824
00:06.25,4430.176758,1176.470215
00:06.27,4425.719727,1181.699951
00:06.28,4421.167969,1186.871582
00:06.30,4416.525391,1191.992310
00:06.32,4411.792969,1197.060791
00:06.33,4406.971680,1202.075562
00:06.35,4402.062988,1207.038818
00:06.36,4397.067383,1211.948486
00:06.38,4391.985840,1216.803345
00:06.40,4386.818848,1221.601562
00:06.41,4381.566895,1226.342163
00:06.43,4376.232422,1231.027344
00:06.44,4370.815918,1235.656250
00:06.46,4365.318359,1240.227783
00:06.48,4359.740723,1244.740967
00:06.49,4354.085449,1249.199463
00:06.51,4348.351562,1253.597900
00:06.52,4342.541504,1257.940063
00:06.54,4336.656250,1262.225342
00:06.56,4330.696289,1266.453125
00:06.57,4324.662598,1270.622681
00:06.59,4318.556641,1274.734253
00:06.60,4312.379883,1278.791016
00:06.62,4306.132812,1282.789795
00:06.64,4299.816895,1286.734619
00:06.65,4293.432617,1290.621094
00:06.67,4286.980957,1294.453003
00:06.68,4280.463379,1298.230957
00:06.70,4273.880859,1301.955322
00:06.72,4267.293945,1305.601074
00:06.73,4260.703613,1309.168457
00:06.75,4254.111816,1312.662842
00:06.76,4247.457520,1316.104004
00:06.78,4240.742676,1319.497192
00:06.80,4233.967285,1322.838989
00:06.81,4227.193848,1326.111938
00:06.83,4220.443848,1329.337280
00:06.84,4214.270996,1333.164062
00:06.86,4208.020996,1336.890503
00:06.88,4201.696777,1340.521118
00:06.89,4195.301270,1344.063965
00:06.91,4188.993652,1347.684570
00:06.92,4182.804199,1351.416626
00:06.94,4176.590332,1355.102661
00:06.96,4170.383301,1358.775391
00:06.97,4164.210449,1362.458740
00:06.99,4158.058105,1366.141235
00:07.00,4151.921387,1369.819580
00:07.02,4145.810059,1373.507812
00:07.04,4139.718262,1377.200806
00:07.05,4133.640625,1380.899170
00:07.07,4127.568848,1384.593506
00:07.08,4121.518555,1388.308105
00:07.10,4115.461914,1392.017944
00:07.12,4109.401855,1395.729126
00:07.13,4103.335938,1399.446899
00:07.15,4097.286621,1402.649902
00:07.16,4090.929932,1405.943481
00:07.18,4084.485596,1409.160278
00:07.20,4077.978027,1412.295288
00:07.21,4071.408936,1415.347412
00:07.23,4064.779053,1418.329956
00:07.24,4058.089355,1421.238892
00:07.26,4051.341064,1424.074585
00:07.28,4044.534668,1426.840454
00:07.29,4037.671387,1429.531250
00:07.31,4030.751465,1432.149414
00:07.32,4023.776123,1434.693970
00:07.34,4016.746094,1437.167114
00:07.36,4009.662109,1439.562500
00:07.37,4002.525146,1441.882446
00:07.39,3995.335938,1444.125000
00:07.40,3988.095459,1446.289307
00:07.42,3980.804443,1448.377441
00:07.44,3973.464111,1450.383057
00:07.45,3966.075439,1452.309570
00:07.47,3958.639160,1454.156006
00:07.48,3951.155762,1455.925293
00:07.50,3943.626709,1457.612061
00:07.52,3936.052734,1459.219482
00:07.53,3928.434570,1460.747192
00:07.55,3920.773438,1462.195068
00:07.56,3913.069336,1463.566895
00:07.58,3905.323486,1464.863159
00:07.60,3897.537109,1466.078735
00:07.61,3889.710205,1467.219727
00:07.63,3881.843750,1468.286255
00:07.64,3873.938232,1469.279419
00:07.66,3865.994385,1470.200317
00:07.68,3858.012207,1471.054199
00:07.69,3849.992676,1471.838379
00:07.71,3841.936279,1472.553467
00:07.72,3833.843018,1473.205566
00:07.74,3825.713135,1473.795898
00:07.76,3817.546875,1474.326782
00:07.77,3809.344482,1474.800171
00:07.79,3801.106201,1475.217896
00:07.80,3792.832275,1475.581665
00:07.82,3784.592041,1475.902954
00:07.84,3776.415039,1476.187134
00:07.85,3768.194336,1476.424316
00:07.87,3759.938721,1476.612183
00:07.88,3751.647949,1476.753174
00:07.90,3743.322510,1476.848267
00:07.92,3734.962158,1476.899536
00:07.93,3726.572021,1476.909546
00:07.95,3718.172119,1476.887085
00:07.96,3709.737549,1476.825684
00:07.98,3701.268311,1476.727051
00:08.00,3692.773193,1476.593628
00:08.01,3684.249512,1476.427856
00:08.03,3675.693848,1476.230225
00:08.04,3667.103516,1476.000366
00:08.06,3658.478271,1475.740601
00:08.08,3649.822754,1475.451172
00:08.09,3641.141113,1475.134644
00:08.11,3632.424805,1474.789429
00:08.12,3623.673584,1474.416504
00:08.14,3614.887695,1474.016479
00:08.16,3606.067139,1473.590088
00:08.17,3597.212402,1473.137939
00:08.19,3588.339111,1472.662109
00:08.20,3579.431152,1472.160278
