isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1280689968
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1244033424
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1245748736
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245450224
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1254271312
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243965120
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1224127776
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1244061088
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1224246144
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1224511536
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1244782544
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1260543312
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1224511536
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1224736224
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1290076208
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1224511536
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1261011616
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1246151136
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
